'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'792880.recompute_res', True, False
'795093.recompute_res', False, False, 1733.817, 124, 99480, 172373, 189348, 88113
'798597.recompute_res', False, False, 108.381, 122, 41199, 71404, 77441, 36573
'800748.recompute_res', False, False, 93.316, 58, 138977, 144535, 152301, 132697
'807123.recompute_res', False, False, 113.075, 12, 9259, 13950, 16086, 7703
'807656.recompute_res', False, False, 0.191, 31, 10529, 10086, 10788, 9966
'808992.recompute_res', False, False, 43.437, 51, 13825, 24283, 25586, 12885
'815004.recompute_res', False, False, 3.283, 75, 22884, 23419, 25161, 21252
'820316.recompute_res', True, False
'82081.recompute_res', True, False
'827282.recompute_res', False, False, 636.928, 74, 129078, 234550, 245409, 120107
'82812.recompute_res', False, False, 30.646, 547, 239710, 247991, 255655, 233546
'82846.recompute_res', False, False, 27.192, 597, 319201, 349176, 359269, 310291
'829337.recompute_res', False, False, 157.278, 8, 26345, 39610, 41279, 24988
'831655.recompute_res', False, False, 72.597, 34, 33508, 56936, 59132, 31668
'833632.recompute_res', False, False, 372.975, 7, 14158, 25785, 27586, 13085
'834171.recompute_res', False, False, 28.002, 32, 19389, 33693, 35866, 17830
'836132.recompute_res', False, False, 195.38, 63, 32699, 51915, 56597, 28503
'837500.recompute_res', False, False, 24.467, 11, 3384, 4337, 6006, 2468
'837882.recompute_res', False, False, 77.807, 13, 18072, 31081, 32768, 16706
'838300.recompute_res', False, False, 333.01, 245, 118719, 166403, 183660, 104114
'838538.recompute_res', False, False, 66.098, 24, 11202, 14153, 17144, 9282
'840314.recompute_res', False, False, 5.998, 49, 61500, 66382, 68798, 59183
'840581.recompute_res', True, False
'840589.recompute_res', False, False, 0.959, 14, 8677, 7930, 8784, 7863
'843656.recompute_res', False, False, 5.689, 167, 54457, 57341, 61507, 49964
'845367.recompute_res', True, False
